torso_pitch_des, torso_roll_des, torso_yaw_des, l_shoulder_pitch_des, l_shoulder_roll_des, l_shoulder_yaw_des, l_elbow_des, r_shoulder_pitch_des, r_shoulder_roll_des, r_shoulder_yaw_des, r_elbow_des, l_hip_pitch_des, l_hip_roll_des, l_hip_yaw_des, l_knee_des, l_ankle_pitch_des, l_ankle_roll_des, r_hip_pitch_des, r_hip_roll_des, r_hip_yaw_des, r_knee_des, r_ankle_pitch_des, r_ankle_roll_des, torso_pitch, torso_roll, torso_yaw, l_shoulder_pitch, l_shoulder_roll, l_shoulder_yaw, l_elbow, r_shoulder_pitch, r_shoulder_roll, r_shoulder_yaw, r_elbow, l_hip_pitch, l_hip_roll, l_hip_yaw, l_knee, l_ankle_pitch, l_ankle_roll, r_hip_pitch, r_hip_roll, r_hip_yaw, r_knee, r_ankle_pitch, r_ankle_roll, base_x, base_y, base_z, com_x, com_y, com_z, des_com_x, des_com_y, des_com_z, lf_des_x, lf_des_y, lf_des_z, lf_meas_x, lf_meas_y, lf_meas_z, lf_meas_d_x, lf_meas_d_y, lf_meas_d_z, rf_des_x, rf_des_y, rf_des_z, rf_meas_x, rf_meas_y, rf_meas_z, rf_meas_d_x, rf_meas_d_y, rf_meas_d_z , zmp_des_x, zmp_des_y, zmp_meas_x, zmp_meas_y, dcom_x, dcom_y, dcom_z, des_dcom_x, des_dcom_y, des_dcom_z,d_torso_pitch_des, d_torso_roll_des, d_torso_yaw_des, d_l_shoulder_pitch_des, d_l_shoulder_roll_des, d_l_shoulder_yaw_des, d_l_elbow_des, d_r_shoulder_pitch_des, d_r_shoulder_roll_des, d_r_shoulder_yaw_des, d_r_elbow_des, d_l_hip_pitch_des, d_l_hip_roll_des, d_l_hip_yaw_des, d_l_knee_des, d_l_ankle_pitch_des, d_l_ankle_roll_des, d_r_hip_pitch_des, d_r_hip_roll_des, d_r_hip_yaw_des, d_r_knee_des, d_r_ankle_pitch_des, d_r_ankle_roll_des, d_torso_pitch, d_torso_roll, d_torso_yaw, d_l_shoulder_pitch, d_l_shoulder_roll, d_l_shoulder_yaw, d_l_elbow, d_r_shoulder_pitch, d_r_shoulder_roll, d_r_shoulder_yaw, d_r_elbow, d_l_hip_pitch, d_l_hip_roll, d_l_hip_yaw, d_l_knee, d_l_ankle_pitch, d_l_ankle_roll, d_r_hip_pitch, d_r_hip_roll, d_r_hip_yaw, d_r_knee, d_r_ankle_pitch, d_r_ankle_roll, rf_adj_x, rf_adj_y, rf_adj_z, lf_adj_x, lf_adj_y, lf_adj_z, external_fx, external_fy, external_fz, external_taux, external_tauy, external_tauz, computational_time, ang_mom_x, ang_mom_y, ang_mom_z , contact_0_corner_0_x , contact_0_corner_0_y , contact_0_corner_0_z , contact_0_corner_1_x , contact_0_corner_1_y , contact_0_corner_1_z , contact_0_corner_2_x , contact_0_corner_2_y , contact_0_corner_2_z , contact_0_corner_3_x , contact_0_corner_3_y , contact_0_corner_3_z , contact_1_corner_0_x , contact_1_corner_0_y , contact_1_corner_0_z , contact_1_corner_1_x , contact_1_corner_1_y , contact_1_corner_1_z , contact_1_corner_2_x , contact_1_corner_2_y , contact_1_corner_2_z , contact_1_corner_3_x , contact_1_corner_3_y , contact_1_corner_3_z
0.116846, -0.000142924, 0.00202855, 0.209968, 0.112221, -0.208206, 0.709997, 0.208945, 0.112284, -0.208117, 0.710571, 0.0877042, 0.0248378, -0.00844284, -0.547304, -0.34478, -0.0454306, 0.101795, -0.00666591, 0.00505177, -0.579401, -0.361665, 0.026219, 0.116008, -9.5874e-05, -0.000862866, 0.211402, 0.103544, -0.2068, 0.700743, 0.208526, 0.102489, -0.20843, 0.706783, 0.0872454, 0.0244479, -0.0139017, -0.549262, -0.347256, -0.0476494, 0.0971204, -0.00766992, 0.00354734, -0.585599, -0.360103, 0.0237768, -0.00456913, -0.0265809, 0.746455, 0.00172501, -0.0226519, 0.699076, 0.00199223, -0.0219454, 0.699244, 0, 0.08, 0, 2.77556e-17, 0.08, 1.52656e-16, 0.001021, 0.0796266, -0.000278379,0, -0.08, 0, -0.00468649, -0.080964, 8.34463e-05, 0.00162469, -0.0815803, -0.00058809, 0.00665312, -0.00854571, -0.032386, -0.0094474, 0.0124581, 0.00800663, 0.00369624, -0.00118168, -0.00251093, 6.85206e-05, 0.0357124, 0.00141469, 0.000560186, 0.00194074, -0.00120301, 0.000121398, -0.000676491, 0.00198303, -0.00113991, 0.000109031, -0.000687874, 0.00498431, -0.00307457, -0.000206507, -0.0320104, 0.0583583, 0.00344895, 0.00603782, -0.00666068, -0.000376415, -0.0323817, 0.0548124, 0.00923109, 0.0191748, -0.00095874, 0.0278035, 0.00249272, 0.0104503, 0.00047937, -0.000287622, -0.000766992, 0.021284, -0.000766992, -0.00661531, 0.0134224, 0.0197501, 0.00872454, 0.0123678, -0.0123678, 0.0183119, -0.00719055, 0.0541688, 0.0195583, 0.0358569, 0.012943, -0.0871495, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.000631807, 0.00115545, 3.27989e-05, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.117225, -0.000132834, 0.00203684, 0.209988, 0.112206, -0.208205, 0.709991, 0.208967, 0.112278, -0.208116, 0.710564, 0.087738, 0.0248586, -0.00846061, -0.547585, -0.344106, -0.04551, 0.101885, -0.00677981, 0.00506364, -0.579783, -0.361076, 0.0264201, 0.116679, 0, -0.000191748, 0.21169, 0.103065, -0.2068, 0.699497, 0.208718, 0.102873, -0.20843, 0.705441, 0.0872454, 0.0246396, -0.0139017, -0.548975, -0.347256, -0.0476494, 0.0971204, -0.0077658, 0.00364321, -0.585694, -0.360199, 0.0240644, -0.0044735, -0.0265804, 0.746497, 0.00183035, -0.0226385, 0.699107, 0.00198041, -0.0219705, 0.699244, 0, 0.08, 0, 2.77556e-17, 0.08, -3.05311e-16, 0.000751325, 0.0794658, -0.000245415,0, -0.08, 0, -0.00483621, -0.0810396, 0.00014974, 0.00136068, -0.0816806, -0.000519784, 0.00638663, -0.0086722, -0.0318533, -0.0127131, 0.0142291, 0.00478601, 0.00384185, -0.00236335, -0.00502186, 0.000137041, 0.0378335, 0.00100899, 0.000829502, 0.00198579, -0.00150385, 0.000170369, -0.000642783, 0.00227655, -0.000618437, 7.37385e-06, -0.000713788, 0.00338087, 0.00207391, -0.00177707, -0.028129, 0.0673905, -0.00794239, 0.00890857, -0.0113898, 0.00118648, -0.0381625, 0.0588495, 0.0201012, 0.0304879, 0.00095874, 0.0623181, 0.00153398, 0.00162986, 0, -0.000575244, -0.000575244, 0.0307756, -0.00095874, -0.00450608, 0.0107379, 0.0225304, 0.0102585, 0.0191748, -0.0109296, 0.0128471, -0.00575244, 0.0498545, 0.0139017, 0.0340353, 0.0111214, -0.082164, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00126361, 0.0023109, 6.55978e-05, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.117601, -0.000127843, 0.00204835, 0.210007, 0.11219, -0.208203, 0.709986, 0.208992, 0.11228, -0.208118, 0.710557, 0.087754, 0.0249354, -0.00849483, -0.547789, -0.34336, -0.0457129, 0.102004, -0.0069457, 0.00509305, -0.580192, -0.360471, 0.0267397, 0.11735, 0, 0.000383496, 0.211786, 0.102489, -0.206704, 0.698826, 0.208814, 0.102969, -0.208334, 0.705441, 0.0871495, 0.0248314, -0.0139017, -0.548975, -0.347256, -0.0476494, 0.0971204, -0.00805342, 0.00364321, -0.585599, -0.360199, 0.0246396, -0.0044765, -0.0265787, 0.74651, 0.00185306, -0.0226162, 0.699115, 0.00195678, -0.0220208, 0.699246, 0, 0.08, 0, 6.93889e-17, 0.08, 4.16334e-17, 0.000664708, 0.0793387, -0.000242202,0, -0.08, 0, -0.00473282, -0.0810111, 0.00017239, 0.00127668, -0.0817503, -0.000471998, 0.00630151, -0.00876682, -0.0300334, -0.0159625, 0.0138621, 0.00182191, 0.00378694, -0.00354503, -0.00753279, 0.000205562, 0.0376336, 0.000499059, 0.00115054, 0.00190893, -0.00162546, 0.00019393, -0.000520915, 0.00247261, 0.00017107, -0.000135923, -0.000656895, 0.00159937, 0.00768249, -0.00342132, -0.0203518, 0.0746267, -0.0202851, 0.0119855, -0.016589, 0.00294173, -0.0409334, 0.060584, 0.0319625, 0.0485123, 0.00191748, 0.0661531, 0.00469783, -0.0117925, 0.00162986, -0.00584832, 0.00172573, 0.0323095, -0.000671118, -0.00834104, 0.0095874, 0.02742, 0.00977915, 0.0211882, -0.00805342, 0.0073823, -0.00431433, 0.0442938, 0.00814929, 0.0310632, 0.0110255, -0.0751652, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00189296, 0.00346518, 9.83967e-05, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.11794, -0.000130275, 0.00206371, 0.210024, 0.112175, -0.208201, 0.709983, 0.209018, 0.112294, -0.208121, 0.710553, 0.0877451, 0.0250838, -0.00854922, -0.54785, -0.342562, -0.0460732, 0.102162, -0.00717919, 0.00514575, -0.580595, -0.359884, 0.0272126, 0.118213, 0, 0.000575244, 0.211594, 0.101914, -0.2068, 0.699305, 0.208718, 0.102585, -0.208334, 0.705345, 0.0872454, 0.0250231, -0.0138059, -0.548975, -0.346968, -0.0474576, 0.0971204, -0.00824517, 0.00373909, -0.585694, -0.360103, 0.0254066, -0.0046721, -0.0264466, 0.746552, 0.00171628, -0.022474, 0.699152, 0.00192133, -0.0220961, 0.699248, 0, 0.08, 0, -4.16334e-17, 0.08, 1.11022e-16, 0.000474818, 0.0792462, -0.000235126,0, -0.08, 0, -0.00484716, -0.0810494, 0.000246812, 0.0010718, -0.0817884, -0.000382415, 0.00610348, -0.00882909, -0.027092, -0.0192673, 0.00783855, -0.000630238, 0.00312874, -0.00472671, -0.0100437, 0.000274082, 0.0339288, -0.000243155, 0.00153557, 0.00163468, -0.00155529, 0.000193099, -0.000264632, 0.00255101, 0.00142794, -0.000354033, -0.000484058, -0.000883741, 0.0148405, -0.00543979, -0.00609769, 0.0798291, -0.0360333, 0.015724, -0.0233496, 0.00526992, -0.0402322, 0.0586428, 0.0472908, 0.0503339, 0.00095874, 0, 0.00249272, -0.024352, 0.00287622, -0.00536895, 0.00172573, 0.0229139, -0.00047937, -0.0147646, 0.00882041, 0.0304879, 0.00872454, 0.0147646, -0.00115049, 0.00230098, -0.000862866, 0.0370074, 0.00469783, 0.0278993, 0.0138059, -0.0694128, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00251738, 0.00461715, 0.000131196, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118203, -0.000141165, 0.00208393, 0.210035, 0.112162, -0.208199, 0.709984, 0.209042, 0.112323, -0.208127, 0.71055, 0.0877086, 0.0253035, -0.00862253, -0.547723, -0.341768, -0.046588, 0.102352, -0.00747987, 0.0052223, -0.580944, -0.359374, 0.027836, 0.118884, -9.5874e-05, 0.000575244, 0.211498, 0.101339, -0.206704, 0.70036, 0.208622, 0.102489, -0.208238, 0.705249, 0.0872454, 0.0252149, -0.01371, -0.548975, -0.346201, -0.0473618, 0.0973121, -0.00843691, 0.00402671, -0.585694, -0.360103, 0.0260777, -0.00517698, -0.0263797, 0.746591, 0.00129952, -0.0224028, 0.699191, 0.00187406, -0.0221965, 0.699251, 0, 0.08, 0, 5.55112e-17, 0.08, -2.08167e-16, 0.000440877, 0.0792052, -0.000229697,0, -0.08, 0, -0.00465276, -0.0810399, 0.000301912, 0.00101757, -0.0817776, -0.000297255, 0.00605851, -0.00884155, -0.0228455, -0.0225984, -0.00509129, -0.00586737, 0.00255623, -0.00590839, -0.0125546, 0.000342603, 0.0263032, -0.00108904, 0.00202231, 0.00114692, -0.00126821, 0.000164456, 9.22443e-05, 0.00241254, 0.00290087, -0.000599729, -0.00020942, -0.00365621, 0.0219736, -0.0073309, 0.0126346, 0.0793574, -0.0514803, 0.0190581, -0.0300682, 0.00765418, -0.0349267, 0.0510325, 0.0623447, 0.0359528, -0.00191748, -0.00095874, -0.00124636, -0.0350899, 0.0025886, 0.00115049, 0.00143811, 0.0175449, -0.000287622, -0.0211882, 0.00968328, 0.0328848, 0.00939566, 0.0102585, 0.0164903, -0.00651943, 0, 0.0299127, 0.00584832, 0.0224345, 0.0165862, -0.0663448, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00313441, 0.00576565, 0.000163994, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118417, -0.000155125, 0.00210766, 0.210042, 0.112144, -0.208196, 0.709985, 0.209064, 0.112356, -0.208134, 0.710548, 0.0876331, 0.0255853, -0.0087124, -0.547515, -0.341057, -0.0472382, 0.102556, -0.00783841, 0.0053196, -0.581327, -0.359007, 0.0285907, 0.119076, -0.000191748, 0.000671118, 0.211115, 0.101051, -0.206704, 0.701031, 0.208622, 0.102298, -0.208238, 0.705537, 0.0873412, 0.0252149, -0.0135182, -0.548879, -0.345434, -0.0474576, 0.0975039, -0.00862866, 0.00441021, -0.585599, -0.360295, 0.026653, -0.00565235, -0.0264437, 0.746602, 0.000896477, -0.0224561, 0.699204, 0.00181498, -0.0223221, 0.699254, 0, 0.08, 0, 4.16334e-17, 0.08, -8.32667e-17, 0.000350129, 0.0793751, -0.000223884,0, -0.08, 0, -0.00452026, -0.0808411, 0.000304102, 0.000896824, -0.0815586, -0.000263778, 0.00595142, -0.00864501, -0.0177289, -0.025639, -0.0185893, -0.0105626, 0.00202134, -0.00709006, -0.0150656, 0.000411123, 0.0213638, -0.00139605, 0.00237302, 0.000682345, -0.00181812, 0.000278074, 0.000159996, 0.00223544, 0.003312, -0.000661887, -0.000212025, -0.00754169, 0.0281765, -0.00898696, 0.0208465, 0.0711085, -0.0650134, 0.0204213, -0.0358539, 0.00973022, -0.0382682, 0.0366511, 0.0754711, 0.0095874, -0.00862866, 0, -0.00843691, -0.0394042, 0.00162986, 0.00872454, 0.00124636, 0.0118884, 0.00047937, -0.0241603, 0.00920391, 0.0322137, 0.0120801, 0.00728643, 0.0354734, -0.0139017, 0.00450608, 0.022818, 0.0130389, 0.0195583, 0.0154357, -0.0632769, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00374159, 0.00690951, 0.000196793, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118522, -0.000179777, 0.0021359, 0.210043, 0.112136, -0.208195, 0.709993, 0.209084, 0.11241, -0.208144, 0.710551, 0.0875434, 0.025928, -0.00881756, -0.547051, -0.340327, -0.048012, 0.102798, -0.00825416, 0.0054378, -0.581567, -0.358682, 0.0294659, 0.119171, -0.000575244, 0.000575244, 0.210731, 0.101051, -0.206704, 0.700935, 0.208622, 0.102298, -0.208238, 0.706208, 0.087533, 0.0252149, -0.0133265, -0.548783, -0.344763, -0.0476494, 0.0976956, -0.00882041, 0.00450608, -0.585599, -0.36039, 0.0272282, -0.00606607, -0.0265724, 0.746603, 0.000547762, -0.0225993, 0.699208, 0.00174408, -0.0224727, 0.699258, 0, 0.08, 0, -9.71445e-17, 0.08, -1.38778e-17, 0.000189872, 0.0795893, -0.000222127,0, -0.08, 0, -0.00451516, -0.0806849, 0.00029729, 0.000706158, -0.0812977, -0.000238868, 0.0057746, -0.00840544, -0.012269, -0.0284297, -0.026435, -0.0173944, 0.00133987, -0.00827174, -0.0175765, 0.000479644, 0.0104823, -0.00246516, 0.00282454, 0.000150637, -0.000756854, 0.000119047, 0.000732901, 0.0020063, 0.00542048, -0.00101266, 0.000292118, -0.00897506, 0.0342671, -0.0105153, 0.0464117, 0.0730117, -0.0773839, 0.0241198, -0.0415746, 0.0118206, -0.0240118, 0.0325411, 0.0875118, 0, -0.0287622, 0, -0.0181202, -0.032693, 0.00095874, 0.0116966, 0.00095874, 0.00862866, 0.00210923, -0.0185996, 0.00987503, 0.0302962, 0.0139017, 0.00709468, 0.048704, -0.022818, 0.0120801, 0.0135182, 0.0132306, 0.0148605, 0.0131347, -0.0553193, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00433646, 0.00804757, 0.000229592, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118598, -0.000200637, 0.00216465, 0.210041, 0.112117, -0.208192, 0.709998, 0.209101, 0.112456, -0.208153, 0.710552, 0.0874164, 0.0262948, -0.00892831, -0.546629, -0.339781, -0.0488389, 0.10302, -0.00868992, 0.0055645, -0.581891, -0.358563, 0.0303897, 0.119171, -0.00115049, 0.000575244, 0.210635, 0.101147, -0.2068, 0.700743, 0.208622, 0.102202, -0.208334, 0.706592, 0.0876289, 0.0253107, -0.0131347, -0.548783, -0.343996, -0.0483205, 0.0977915, -0.00910803, 0.00450608, -0.585599, -0.360486, 0.0278035, -0.00657605, -0.0270242, 0.746552, 8.68773e-05, -0.0230494, 0.699164, 0.00166136, -0.0226485, 0.699263, 0, 0.08, 0, 0, 0.08, 2.35922e-16, 0.000242597, 0.0798082, -0.000250315,0, -0.08, 0, -0.00446491, -0.0805114, 0.000222113, 0.000721635, -0.0810345, -0.000296233, 0.00580703, -0.00816286, -0.00637048, -0.0302259, -0.033235, -0.0301024, -0.000539518, -0.00945342, -0.0200874, 0.000548165, 0.00765902, -0.00208601, 0.0028744, -0.000259244, -0.0018787, 0.000328525, 0.000511892, 0.00168287, 0.00457461, -0.000853428, 4.64171e-05, -0.0127032, 0.0366816, -0.0110759, 0.042202, 0.0545412, -0.0826935, 0.0222195, -0.0435757, 0.0126693, -0.0323884, 0.0118749, 0.0923863, 0.00115049, -0.0604006, -0.00095874, -0.0248314, -0.0273241, 0.00047937, 0.0123678, -0.00115049, 0.00690293, 0.00191748, -0.0146687, 0.0112173, 0.0261736, 0.0170656, 0.00556069, 0.0596336, -0.0392125, 0.0143811, 0.0025886, 0.00891629, 0.0122719, 0.0115049, -0.0469783, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00491656, 0.00917869, 0.000262391, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118604, -0.000224719, 0.00219361, 0.210035, 0.112104, -0.208189, 0.710006, 0.209115, 0.11251, -0.208162, 0.710555, 0.0872823, 0.0266778, -0.00904244, -0.546095, -0.339288, -0.0496903, 0.103247, -0.00913828, 0.00569771, -0.582129, -0.35851, 0.0313343, 0.119076, -0.00191748, 0.00047937, 0.210348, 0.101147, -0.2068, 0.700552, 0.208526, 0.102202, -0.208334, 0.706592, 0.0877247, 0.0254066, -0.0127512, -0.548495, -0.343421, -0.0492793, 0.0977915, -0.00929978, 0.00450608, -0.585599, -0.360582, 0.0285705, -0.00687628, -0.0276696, 0.746489, -0.000188506, -0.0237113, 0.699103, 0.00156682, -0.0228494, 0.699268, 0, 0.08, 0, -5.55112e-17, 0.08, -1.52656e-16, 0.000132544, 0.0800902, -0.000247684,0, -0.08, 0, -0.00464854, -0.0803709, 0.000117574, 0.000547033, -0.0807105, -0.000371208, 0.00566175, -0.00785931, -0.00102048, -0.0322556, -0.0360165, -0.0403932, -0.00252593, -0.0106351, -0.0225984, 0.000616685, 0.000578589, -0.00240821, 0.00289614, -0.000611311, -0.00135031, 0.000253314, 0.000768102, 0.00139844, 0.00534945, -0.000973703, 0.000287859, -0.0134105, 0.0383021, -0.0114123, 0.053376, 0.0493442, -0.0851372, 0.0226929, -0.0448365, 0.0133218, -0.023852, 0.00535429, 0.094453, 0.000575244, -0.0575244, -0.0047937, -0.0244479, -0.021284, 0, 0.0127512, -0.00134224, 0.00508132, 0.00095874, -0.0104503, 0.0118884, 0.022051, 0.0231056, 0.00671118, 0.0640439, -0.057045, 0.0135182, -0.0073823, 0.0051772, 0.00805342, 0.0112173, -0.0321178, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00547942, 0.0103017, 0.00029519, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118515, -0.000255548, 0.00222465, 0.210024, 0.1121, -0.208188, 0.710018, 0.209126, 0.112577, -0.208174, 0.710562, 0.0871453, 0.0270841, -0.00916093, -0.545382, -0.338817, -0.0505796, 0.103488, -0.00960662, 0.00583939, -0.582228, -0.3585, 0.0323134, 0.119171, -0.00249272, 0.000383496, 0.210539, 0.101243, -0.2068, 0.700456, 0.208526, 0.102489, -0.208334, 0.7064, 0.0879165, 0.0255025, -0.0125595, -0.548208, -0.342941, -0.0501421, 0.0978874, -0.00968328, 0.00450608, -0.585694, -0.360678, 0.0293375, -0.00710202, -0.0282521, 0.74644, -0.00038204, -0.0242794, 0.699057, 0.00146047, -0.0230753, 0.699275, 0, 0.08, 0, -1.38778e-17, 0.08, -1.66533e-16, -1.44243e-05, 0.0803463, -0.00025487,0, -0.08, 0, -0.00485224, -0.0801308, 4.63269e-05, 0.00036599, -0.0804143, -0.000432359, 0.00549623, -0.00758175, 0.00547932, -0.0339169, -0.0362311, -0.0447776, -0.00361676, -0.0118168, -0.0251093, 0.000685206, -0.00889751, -0.00308283, 0.00310443, -0.00103066, -0.000348804, 0.00010003, 0.00120178, 0.00109052, 0.00675529, -0.00120103, 0.00069784, -0.0136943, 0.0406357, -0.0118496, 0.0712869, 0.0470506, -0.0889267, 0.0241477, -0.046834, 0.0141675, -0.00990996, 0.000960813, 0.0979143, 0.00115049, -0.0210923, -0.00191748, -0.0196542, -0.0140935, -0.000287622, 0.0125595, -0.00115049, 0.00536895, -0.000766992, -0.0069988, 0.0125595, 0.0203253, 0.0244479, 0.0105461, 0.0661531, -0.0705633, 0.0126554, -0.0149563, 0.0022051, 0.00651943, 0.0095874, -0.015244, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00602258, 0.0114154, 0.000327989, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
0.118346, -0.000291822, 0.00225794, 0.21001, 0.112103, -0.208188, 0.710033, 0.209134, 0.112655, -0.208188, 0.710571, 0.0870003, 0.0275142, -0.00928375, -0.54453, -0.338394, -0.0515102, 0.103739, -0.0100954, 0.00598922, -0.582228, -0.358559, 0.0333307, 0.119267, -0.00268447, 0.000383496, 0.210444, 0.101243, -0.2068, 0.70036, 0.208526, 0.102777, -0.208334, 0.706208, 0.0880124, 0.0256942, -0.0124636, -0.547824, -0.342366, -0.051005, 0.0979833, -0.0100668, 0.00460195, -0.585694, -0.360678, 0.0299127, -0.00735175, -0.0288352, 0.746407, -0.000595222, -0.0248071, 0.699027, 0.00134231, -0.0233264, 0.699281, 0, 0.08, 0, -1.249e-16, 0.08, -1.94289e-16, -4.47489e-05, 0.0805342, -0.000269689,0, -0.08, 0, -0.00497314, -0.0799451, -1.17818e-05, 0.000311806, -0.0801884, -0.000480185, 0.00545295, -0.0073733, 0.0116695, -0.0352858, -0.035039, -0.047978, -0.0039123, -0.0129984, -0.0276202, 0.000753726, -0.0169202, -0.00362743, 0.0033284, -0.00143716, 0.000274568, 1.08636e-05, 0.0015184, 0.000793877, 0.00776921, -0.00136169, 0.00098988, -0.0144971, 0.0430009, -0.0122818, 0.0851669, 0.0422975, -0.0930638, 0.0250785, -0.0488746, 0.0149829, -2.63877e-05, -0.00592995, 0.101734, 0.0029721, -0.00095874, -0.00095874, -0.0156275, -0.00882041, -0.00047937, 0.012176, -0.00095874, 0.00824517, -0.000766992, -0.00412258, 0.0145729, 0.0210923, 0.0227221, 0.0162027, 0.0673994, -0.0800548, 0.0124636, -0.0247355, -9.5874e-05, 0.0029721, 0.0077658, 0, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 52660, -0.00654358, 0.0125187, 0.000360788, -0.0151458, -0.0597667, 1.11511, -0.0152272, -0.0597667, 1.05197, -0.0152272, -0.0595497, 1.01093, -0.0151458, -0.0595497, 1.07407, -0.0143149, -0.00322312, 1.44248, -0.0143959, -0.00322312, 1.3793, -0.0143959, -0.00300695, 1.33823, -0.0143149, -0.00300695, 1.40142
